TREINO,GRUPO MUSCULAR,EXERCICIO,VIDEO,METODO,REPETICOES,CARGA (ALUNO),INTERVALO,OBSERVACAO
TREINO A,Quadriceps,Agachamento livre,,Piramide,10/08/2026,,2min,
TREINO A,Quadriceps,Leg press 45 pes altos,,Bi-set,12/10/2026,,1-2min,
TREINO A,Gluteos,Hip thrust barra,,Bi-set,12/10/2026,,1-2min,
TREINO A,Gluteos,Stiff halteres,,,12/10/2026,,1-2min,
TREINO A,Quadriceps,Cadeira extensora,,,15/12/2026,,1-2min,
TREINO A,Gluteos,Abducao de quadril no cabo,,,15/12/2026,,1-2min,
TREINO A,Panturrilha,Panturrilha em pe,,,15-20,,1min,
TREINO B,Dorsal,Pulley frente pegada aberta,,Piramide,10/08/2026,,2min,
TREINO B,Dorsal,Remada articulada fechada,,,10/08/2026,,2min,
TREINO B,Dorsal,Remada baixa triangulo,,Bi-set,12/10/2026,,1-2min,
TREINO B,Biceps,Rosca direta halteres,,Bi-set,12/10/2026,,1-2min,
TREINO B,Dorsal,Remada unilateral halter,,,12/10/2026,,1-2min,
TREINO B,Biceps,Rosca martelo,,,12/10/2026,,1-2min,
TREINO B,Abdomen,Prancha frontal,,,30-40s,,30-45s,
TREINO C,Posterior,Levantamento terra,,Piramide,08/06/2026,,2-3min,
TREINO C,Posterior,Mesa flexora,,Bi-set,12/10/2026,,1-2min,
TREINO C,Gluteos,Hip thrust smith,,Bi-set,12/10/2026,,1-2min,
TREINO C,Gluteos,Bulgaro halteres,,,12/10/2026,,2min,
TREINO C,Quadriceps,Afundo no smith,,,15/12/2026,,1-2min,
TREINO C,Gluteos,Extensao de quadril no cabo,,,15/12/2026,,1-2min,
TREINO C,Panturrilha,Panturrilha sentado,,,15-20,,1min,
TREINO D,Deltoides,Desenvolvimento halteres sentado,,Piramide,10/08/2026,,2min,
TREINO D,Deltoides,Elevacao lateral halteres,,Bi-set,15/12/2026,,1-2min,
TREINO D,Peitoral,Supino inclinado halteres,,Bi-set,12/10/2026,,1-2min,
TREINO D,Peitoral,Cross over polia media,,,12/10/2026,,1-2min,
TREINO D,Triceps,Triceps corda,,,12/10/2026,,1-2min,
TREINO D,Triceps,Triceps frances halter,,,12/10/2026,,1-2min,
TREINO D,Abdomen,Prancha lateral,,,30-40s,,30-45s,
